Code,Devanagari,Comments,Official Name,IAST s diacritics,Ma Renu Method,Ma Renu s diacritics,Harvard- Kyoto,Alt Spelling 1,Alt Spelling 2,Alt Spelling 3,Alt Spelling 4,Alt Spelling 5,Alt Spelling 6,Unique  to ITRANS  ,,,
N,,meaning servant of Īśvara,Ishvaradas,,,,,,,,,,,,,,
N,ईश्वरकृष्ण,Author of the Sāṃkhya Kārikā,Īśvarakṛṣṇa,isvarakrsna,Īśvarakṛṣhṇa,isvarakrshna,IzvarakRSNa,,,,,,,iishvarakRRiShNa,iishvarakR^iShNa,,
N,,,Jacob,,,,,,,,,,,,,,
N,,German philosoopher and Christian mystic who was also a shoemaker,Jacob Boehme,,,,,bemen,Behmen,Böhme,,,,,,,
N,जडभरत,"From a story from Babaji in discusion of prakṛtilaya, Jadabharata was like a lump of mud for many years but, taken to a king, showed his wisdom.",Jaḍabhārata,Jadabharata,,,JaDabhArata,,,,,,,JaDabhaarata,,,
N,,,Jagadish Steve Wolfman,,,,,jagadish,,,,,,,,,
N,,,"Jagannath Todd Mitchell, M.D.",,,,,,,,,,,,,,
N,जै देव्,"Referred to in: ""Jai Dev story : “Fried Seed.”)"" 1977-11-08",Jai Dev,,,,,,,,,,,,,,
N,जैमिनि,"name of a celebrated sage and philosopher, founder of the Mīmāṃsā school of philosophy",Jaimini,,,,,,,,,,,,,,
N,,"Christian mystic, German philosopher; also a shoemaker",Jakob Böhme,,,,,boehme,,,,,,,,,
N,,,Jana,,,,,,,,,,,,,,
N,,,Janaki Hattis,,,,,janaki,,,,,,,,,
N,,,Janardan Kieran Farley (JD),,,,,janardan,JD,,,,,,,,
N,,,Jane Roberts,,,,,roberts,Seth,,,,,,,,
N, ,[approved by Jaya],Jaya Maxon,,,,,maxon,,,,,,,,,
N,,,Jayant Josh Gitomer,,,,,jayant,,,,,,,,,
N,,historical reference: a judge of Israel who sacrificed his daughter in consequence of a vow,Jephtha,,,,,,,,,,,,,,
N,,,Jeremiah,,,,,,,,,,,,,,
N,,,Jessie,,,,,Jessi,,,,,,,,,
N,,,Jesus Christ,,,,,christ,kreest,christe,jesus,,,,,,
N,जिद्दू कृष्णमूर्ति,"Indian philosopher, speaker, writer, and spiritual figure. Adopted by members of the Theosophical tradition as a child, he was raised to fill the advanced role of World Teacher, but in adulthood he rejected this mantle and distanced himself from the related religious movement.",Jiddu Krishnamurti,,,,,krishnamurti,,,,,,,,,
N,,,Jim,,,,,,,,,,,,,,
N,ज्ञान्देव्,"Jñāndev, Sopānadev, Nivṛttīdev, three brothers and Muktābāī, the sister. All four were siddhas.",Jñāndev,Jnandev,,,jJAndev,Gyandev,Jnanadev,,,,,J~nAndev,J~naandev,,
N,,Commentator on the Gita,Jnaneshwar,,,,,,,,,,,,,,
N,,,Joe Sielicki,,,,,sielicki,,,,,,,,,
,,,Johanna,,,,,,,,,,,,,,
N,,,John,,,,,Johns,,,,,,,,,
N,,,John F Kennedy,,,,,JFK,,,,,,,,,
N,,,Jonah,,,,,,,,,,,,,,
N,,,Jones,,,,,,,,,,,,,,
N,,,Jose,,,,,,,,,,,,,,
N,,,Joseph,,,,,,,,,,,,,,
N,,,Juan,,,,,,,,,,,,,,
N,,,Jungerman,,,,,,,,,,,,,,
N,,,Jyoti Prather,,,,,Jyoti,,,,,,,,,
N,कबीर,a great mediaeval Hindi poet,Kabir Dass,,,,,kabir,kabirdas,,,,,,,,
N,,PA,Kabita Steiny,,,,,kavita,,,,,,,,,
N,,a local person,Kali Charan,,,,,,,,,,,,,,
N,,Person mentioned by Babaji who did isolation for 20 years,Kalichandra,,,,,,,,,,,,,,
N,,,Kalpana Iris Kachuk,,,,,kachuk,,,,,,,,,
N,,,Kalpana Andea Tabachnik,,,,,tabachnik,,,,,,,,,
N,,,Kalyani Dorothy Mayhue,,,,,kalyani,,,,,,,,,
N,,,Kamala Bai,,,,,kamalabai,,,,,,,,,
N,,,Kamalesh Ginger Hooven,,,,,,,,,,,,,,
N,कमली,"The daughter of a king named Reṇuka, born in the family of Ikṣvāku, named Reṇukā who was otherwise known by the name of Kamalī.",Kamalī,Kamali,,,kamalI,,,,,,,kamalii,,,
N,कणाद,Name of author of vaiśeṣika branch of the Nyāya philosophy,Kaṇāda,Kanada,,,kaNAda,,,,,,,kaNaada,,,
N,करब,a person who lived in Kara jungle (close to Sri Ram) who healed a woman and became a householder; story given as example of prārabdha karma,Karaba,,,,,,,,,,,,,,
N,,,Karen,,,,,,,,,,,,,,
N,,deceased,Karuna Ault (Karuna A),,,,,karuda,,,,,,,,,
N,,,"Karuna Judith Chapman (KB, Karuna B)",,,,,,,,,,,,,,
N,,,Kathiya,,,,,,,,,,,,,,
N,,,Katia,,,,,,,,,,,,,,
N,,"a saint, renunciate from a kingly family in Nepal",Kaushani Baba,,,,,Kaushani Baba,,,,,,,,,
N,चौटिल्य,"aka Cāṇakya चाणक्य and Viṣṇugupta विष्णुगुप्त philosopher and Prime Minister (300 BCE), author of the Arthaśāstra",Kauṭilya,Kautilya,,,kauTilya,Kartilya,,,,,,,,,
,,,King Henry V,Henry V,,,,,,,,,,,,,
N,,(see also Niraj Forson and Anupama Susan Forson),Kishor George Forson,,,,,Kishor Forson,,,,,,,,,
N,,,Kranti Mary Ann Mailliard,,,,,kranti,,,,,,,,,
N,,Indian muscian,Krishna Ram Chaudhary,,,,,krishnaram,,,,,,,,,
N,,"(from 1/31/78 darshan, a person who recently died) (also, one of 3 men who Babaji named who are celebate. 6/7/77)",Kurt,,,,,,,,,,,,,,
N,लाहिड़ी महाशय,"also known as Shyāmācharan Lāhirī श्यामाचरण लाहिड़ी re-introduced Kriya Yoga, teacher of Sri Yukteswar, the guru of Paramahansa Yogananda",Lāhirī Mahāśaya,Lahiri Mahasaya,Lāhirī Mahāśhaya,Lahiri Mahashaya,LAhirI MahAzaya,lahiri,lahjiri,,,,,Laahirii Mahaashaya,,,
N,,"also Laozi and other variation; an ancient Chinese philosopher, author of the Tao Te Ching, the foundational text of Taoism along with the Zhuangzi. Laozi is a Chinese honorific, typically translated as ""the Old Master"".",Lao-Tzu,,,,,lao,,,,,,,,,
N,,,Leone,,,,,lleone,,,,,,,,,
N,,,Lila Ansel,,,,,lila,,,,,,,,,
N,,,Lilith Ohlson-Perez (Lily),,,,,Lilith Ohlson,Lily,Perez,,,,,,,
N,,One of the names of the Dalai Lama (Jetsun Jamphel Ngawang Lobsang Yeshe Tenzin Gyatso),Lobsang,,,,,,,,,,,,,,
N,,,Lobsang Rampa,,,,,rampa,,,,,,,,,
N,लोचनाथ ब्रह्मचारी,"a siddha (a perfected saint) May 31, 1981",Lokenath Brahmachārī ,Lokenath Brahmachari,,,lokenath brahmachArI,Loknath,Lokanand,Lokenath Brahmacārī ,Lokanath Brahmachari,,,lokenath brahmachaarii ,,,
N,,,Ma Renu Horsting,,,,,renu,rena,,,,,,,,
N,,founder of the school of theosophy which promoted the concept of akashic records,Madame Blavatsky,,,,,blavatsky,,,,,,,,,
N,,,Madhab Colby White,,,,,madhab,,,,,,,,,
N,,,Madhusri Eileen Sendrey,,,,,madhusri,,,,,,,,,
N,,,Maharishi Mahesh Yogi,,,,,maharishi's,,,,,,,,,
